id,parco,nome,superficie,provvedimento,comuni,elencoufficiale,altreinformazioni,indirizzo,gestore,provincie,email
321,Adamello Brenta,Parco Naturale Adamello Brenta,"62052.00",LP 18,"Bocenago, Caderzone, Campodenno, Carisolo, Cavedago, Cles, Comano Terme, Contà, Daone, Denno, Dimaro Folgarida, Giustino, Massimeno, Molveno, Pelugo, Pinzolo, Porte di Rendena, San Lorenzo Dorsino, Sella Giudicarie, Spiazzo, Spormaggiore, Sporminore, Stenico, Strembo, Tione di Trento, Tre Ville, Ville d'Anaunia",EUAP0930,www.parks.it/parco.adamello.brenta,"via Nazionale, 24 - 38080 Strembo (TN)",Ente Parco Naturale Adamello Brenta,TN,info@pnab.it
322,Grahmoos,VR - Biotopo Grahmoos,"28.16",DPGP 209 7/07/1988,Luson,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
323,Brozin,Riserva Locale Brozin,"5.48",null,Castello-Molina di Fiemme,null,www.parks.it/riserva.brozin,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
324,Torbiera bassa Petasettes - Niedermoor Petasettes,VR - Biotopo Torbiera bassa Petasettes - Niedermoor Petasettes,"5.94",DPGP 309 4/02/1994,Malles Venosta / Mals,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
325,Torbiera Echen (IT3120078),Zona Speciale di Conservazione Torbiera Echen,"8.33",null,Folgaria,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
326,Adige (IT3120156),Zona Speciale di Conservazione e Zona di Protezione Speciale Adige,14,null,"Ala, Avio, Isera",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
327,Hottermoos,VR - Biotopo Hottermoos,"0.86",DPGP 311 3/03/1994,San Genesio Atesino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
328,Steinmoos,VR - Biotopo Steinmoos,"1.81",DPGP 299 17/08/1993,Nova Ponente,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
329,Stelvio - Stilfserjoch,"Parco Nazionale dello Stelvio
Nationalpark Stilfserjoch","130728.00","L 740 24/04/1935 - DPR 26/9/78 - DPCM 26/11/93 - DPR 07/07/06 - Intesa dell’11/02/2015, ai sensi dell’art. 1, c. 515, della l. 27/12/2013, n. 147, e dell’art. 11, c. 8, del DL 24/06/2014, n. 91, convertito con modificazioni dalla l. 11/08/2014, n. 116","Bormio, Glorenza / Glurns, Laces / Latsch, Lasa / Laas, Livigno, Malles Venosta / Mals, Martello / Martell, Peio, Pellizzano, Ponte di Legno, Prato allo Stelvio / Prad am Stilfserjoch, Rabbi, Silandro / Schlanders, Sondalo, Stelvio / Stilfs, Temù, Tubre / Taufers im Münstertal, Ultimo / Ulten, Valdidentro, Valdisotto, Valfurva, Vezza d'Oglio, Vione",EUAP0017,www.parks.it/parco.nazionale.stelvio,,Parco Nazionale dello Stelvio,"BZ, BS, SO, TN",null
330,Stagni della Vela - Soprasasso,Riserva Naturale Provinciale Stagni della Vela - Soprasasso,87,null,Trento,null,www.parks.it/riserva.stagni.vela.soprasasso,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
331,Canneto di Levico,Biotopo Canneto di Levico,"12.35",DGP 9063 5/08/1988,Levico Terme,EUAP0472,www.parks.it/biotopo.canneto.levico,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
332,Monte Zugna (IT3120114),Zona Speciale di Conservazione Monte Zugna,"1693.00",null,"Ala, Rovereto, Trambileno",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
333,Rienzaue-Dobbiaco - Rienzaue-Toblach,VR - Biotopo Rienzaue-Dobbiaco - Rienzaue-Toblach,"16.31",DGP 2338 7/07/2003,Dobbiaco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
334,Re' di Castello - Breguzzo (IT3120166),Zona Speciale di Conservazione Re' di Castello - Breguzzo,"3629.00",null,"Sella Giudicarie, Valdaone",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
335,Fraul (A),Riserva Locale Fraul (A),"0.73",null,Carano,null,www.parks.it/riserva.fraul.A,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
336,Torbiera del Tonale (IT3120064),Zona Speciale di Conservazione Torbiera del Tonale,62,null,Vermiglio,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
337,Lago di Mezzo - Mitterstieler See,VR - Biotopo Lago di Mezzo - Mitterstieler See,"2.9",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
338,La Rupe (IT3120054),Zona Speciale di Conservazione La Rupe,45,null,Nave San Rocco,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
339,La Rocchetta,Biotopo La Rocchetta,76,DGP 16950 30/11/1992,"Campodenno, Denno, Spormaggiore, Sporminore, Ton",EUAP0477,www.parks.it/biotopo.rocchetta,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
340,Paluda la Lot (IT3120047),Zona Speciale di Conservazione Paluda la Lot,3,null,Altavalle,null,www.parks.it/IT3120047,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
341,Reasler Au,VR - Biotopo Reasler Au,"2.08",DPGP 243 6/08/1990,Plaus,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
342,Stramentizzo,Riserva Locale Stramentizzo,"6.33",null,Castello-Molina di Fiemme,null,www.parks.it/riserva.stramentizzo,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
343,Lago di Mutta Riva Nord - Heidersee (Nordufer),VR - Biotopo Lago di Mutta Riva Nord - Heidersee (Nordufer),4,DPGP 308 4/02/1994,Curon Venosta,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
344,Prabocolo (A),Riserva Locale Prabocolo (A),"1.58",null,Daiano,null,www.parks.it/riserva.prabocolo.A,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
345,Ches,Riserva Locale Ches,"0.84",null,Spiazzo,null,www.parks.it/riserva.ches,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
346,Palude Col da Fil - Moos Col da Fil,VR - Biotopo Palude Col da Fil - Moos Col da Fil,"7.27",DPGP 269 10/02/1992,Castelrotto,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
347,Caderzone,Riserva Locale Caderzone,"24.23",null,Caderzone,null,www.parks.it/riserva.caderzone,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
348,Palude Trinkstein - Froschlaichgebiet Trinkstein,VR - Biotopo Palude Trinkstein - Froschlaichgebiet Trinkstein,"9.66",DPGP 282 17/06/1992,Predoi,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
349,Hinterer Loden,VR - Biotopo Hinterer Loden,"1.05",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
350,Laghestel di Piné,Biotopo Laghestel di Piné,86,DGP 16440 21/12/1989,Baselga di Pinè,EUAP0480,www.parks.it/biotopo.laghestel.pine,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
351,Vecchio Adige-Magrè - Alte Etsch-Margreid,VR - Biotopo Vecchio Adige-Magrè - Alte Etsch-Margreid,"1.07",DPGP 412 26/09/2000,"Egna, Magrè Strada del Vino",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
352,Biotopo Lago di Favogna (IT3110037),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Lago di Favogna,"9.69",null,Magrè Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
353,Paludi di San Giorgio - Georgener Moeser,VR - Biotopo Paludi di San Giorgio - Georgener Moeser,"4.23",DGP 922 18/03/2002,Brunico,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
354,Confluenza Isarco - Fischerspitz,VR - Biotopo Confluenza Isarco - Fischerspitz,"11.81",DDR 18 28/11/2001,Bolzano,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
355,Lago di Loppio,Riserva naturale provinciale Lago di Loppio,"112.6",DGP 11130 19/10/1987,"Mori, Nago-Torbole",EUAP0484,www.parks.it/biotopo.lago.loppio,"c/o Comune di Brentonico - Via Fabio Filzi, 35 - 38060 Brentonico (TN)",Parco Naturale Locale del Monte Baldo,TN,parcodelbaldo@comune.brentonico.tn.it
356,Adige,VR - Biotopo Adige,14,DGP 1845 01/08/03,"Ala, Avio, Isera",EUAP0713,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
357,Frank Lack,VR - Biotopo Frank Lack,"0.58",DGP 5105 23/12/2002,Terlano,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
358,Torcegno (IT3120124),Zona Speciale di Conservazione Torcegno,47,null,"Borgo Valsugana, Ronchi Valsugana, Torcegno",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
359,Ghiacciaio Marmolada (IT3120129),Zona Speciale di Conservazione Ghiacciaio Marmolada,"462.84",null,Canazei,null,www.parks.it/IT3120129,"c/o Comune General de Fascia (Comune capofila) - Strada di Pré de gejia, 2 - 38036 Pozza di Fassa (TN)",Rete di Riserve della Val di Fassa,TN,reteriserve@comungeneraldefascia.tn.it
360,Pascoli paludosi del Monte Rota - Ratsberger Feuchtwiesen,VR - Biotopo Pascoli paludosi del Monte Rota - Ratsberger Feuchtwiesen,30,DGP 2338 7/07/2003,Dobbiaco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
361,Paludi di Sternigo (IT3120034),Zona Speciale di Conservazione Paludi di Sternigo,24,null,Baselga di Pinè,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
362,Valle del Vanoi (IT3120143),Zona Speciale di Conservazione Valle del Vanoi,"3247.00",null,"Canal San Bovo, Castello Tesino",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
363,Val Noana (IT3120126),Zona Speciale di Conservazione e Zona di Protezione Speciale Val Noana,730,null,"Imer, Mezzano",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
364,Biotopo Wiesermoos,Biotopo Wiesermoos,"13.89",DPGP 282 17/06/1992,Predoi,EUAP0514,www.parks.it/riserva.wiesermoos,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
365,Palude di Gais - Schilfmoor,VR - Biotopo Palude di Gais - Schilfmoor,"1.29",DPGP 136 27/04/1983,Gais,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
366,Rio Valsura - Falschauer,Biotopo Rio Valsura - Falschauer,"32.01",DPGP 3118 30/08/2004,"Lana, Merano",EUAP0421,www.parks.it/biotopo.delta.valsura,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
367,Torbiera Oberfenn - Oberfenner Moor,VR - Biotopo Torbiera Oberfenn - Oberfenner Moor,"6.83",DPGP 296 2/03/1993,Cortaccia Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
368,Tre Cime del Monte Bondone,Riserva Naturale Tre Cime del Monte Bondone,224,DPGR 128 3/07/1968,Trento,EUAP0405,www.parks.it/riserva.tre.cime.monte.bondone,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
369,Area di protezione fluviale del Torrente Avisio,Area di protezione fluviale del Torrente Avisio,"270.65",null,"Castello-Molina di Fiemme, Cavalese, Panchià, Predazzo, Tésero, Ziano di Fiemme",null,www.parks.it/af.torrente.avisio,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
370,Valle di Funes - Sas De Putia - Rasciesa nel Parco Naturale Puez-Odle (IT3110026),Zona Speciale di Conservazione e Zona di Protezione Speciale Valle di Funes - Sas De Putia - Rasciesa nel Parco Naturale Puez-Od,"5277.00",null,"Funes, Ortisei, San Martino in Badia",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
371,Scanuppia (IT3120018),Zona Speciale di Conservazione Scanuppia,529,null,Besenello,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
372,Alpe di Storo e Bondone (IT3120094),Zona Speciale di Conservazione e Zona di Protezione Speciale Alpe di Storo e Bondone,759,null,Bondone,null,www.parks.it/IT3120094,"c/o Comune di Ledro (Comune capofila) - Via Vittoria, 5 - 38067 Pieve di Ledro (TN)",Rete di Riserve Alpi Ledrensi,TN,comune@comune.ledro.tn.it
373,Ju de Rit,VR - Biotopo Ju de Rit,"1.59",DPGP 113 21/04/1982,La Valle,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
374,La Rocchetta (IT3120061),Zona Speciale di Conservazione e Zona di Protezione Speciale La Rocchetta,89,null,"Campodenno, Denno, Spormaggiore, Sporminore, Ton",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
375,Moarhofermoos,VR - Biotopo Moarhofermoos,"0.92",DPGP 5 31/03/1994,Cornedo all'Isarco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
376,Monte Calvo (IT3120090),Zona Speciale di Conservazione Monte Calvo,"1.19",null,Pergine Valsugana,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
377,Schussmoos,VR - Biotopo Schussmoos,"5.97",DPGP 364 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
378,Vegetazione steppica Sonnenberg - Steppenvegetation Sonnenberg,VR - Biotopo Vegetazione steppica Sonnenberg - Steppenvegetation Sonnenberg,"175.54",DDPGP 281 4/06/1992,"Castelbello-Ciardes, Naturno",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
379,Palude Grande “Gran Paluch”,VR - Biotopo Palude Grande “Gran Paluch”,"28.03",DPGP 269 10/02/1992,Castelrotto,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
380,Roncon (IT3120084),Zona Speciale di Conservazione Roncon,"2.9",null,Vigo di Fassa,null,www.parks.it/IT3120084,"c/o Comune General de Fascia (Comune capofila) - Strada di Pré de gejia, 2 - 38036 Pozza di Fassa (TN)",Rete di Riserve della Val di Fassa,TN,reteriserve@comungeneraldefascia.tn.it
381,Pale di San Martino (IT3120178),Zona Speciale di Conservazione Pale di San Martino,"7333.00",null,"Primiero San Martino di Castrozza, Sagron Mis",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
382,Biotopo Torbiera Totes Moos (IT3110030),Zona Speciale di Conservazione e Zona di Protezione Biotopo Torbiera Totes Moos,"4.2",null,Nova Ponente,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
383,Lago (Tesero),Riserva Locale Lago (Tesero),"12.99",null,Tésero,null,www.parks.it/riserva.lago.tesero,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
384,Laghi di Monticolo - Montiggler Seen,VR - Biotopo Laghi di Monticolo - Montiggler Seen,"40.41",DPGP 349 28/12/1995,Appiano sulla strada del vino / Eppan an der Weinstraße,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
385,Biotopo Ontaneto di Oris (IT3110005),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Ontaneto di Oris,46,null,Lasa / Laas,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
386,Spatzmoos,VR - Biotopo Spatzmoos,"0.5",DGP 703 4/03/2002,San Candido,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
387,Oasi WWF Inghiaie,Oasi WWF Inghiaie,1,null,Levico Terme,null,www.parks.it/oasi.inghiaie,"Via Po, 25/c - 00198 Roma (RM)",WWF Italia ONG-Onlus,TN,wwf@wwf.it
388,Rienzau-Monguelfo - Rienzau-Welsberg,VR - Biotopo Rienzau-Monguelfo - Rienzau-Welsberg,"18.1",DGPG 365/28/1 9/07/1997,"Monguelfo, Tesimo",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
389,Pra da la doi portes,VR - Biotopo Pra da la doi portes,"4.78",DPGP 340 18/04/1995,Selva di Val Gardena,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
390,Prati di Monte (IT3120046),Zona Speciale di Conservazione Prati di Monte,6,null,Altavalle,null,www.parks.it/IT3120046,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
391,Pasubio (IT3120100),Zona di Protezione Speciale Pasubio,"1836.00",null,"Terragnolo, Trambileno",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
392,Sorgente Resenzuola,Biotopo Sorgente Resenzuola,"4.4",DGP 278 18/01/1994,Grigno,EUAP0506,www.parks.it/biotopo.sorgente.resenzuola,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
393,Vegetazione steppica Tartscher Leiten - Steppenvegetation Tartscher Leiten,VR - Biotopo Vegetazione steppica Tartscher Leiten - Steppenvegetation Tartscher Leiten,"38.05",DPGP 309 4/02/1994,Malles Venosta / Mals,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
394,Inghiaie (IT3120038),Zona Speciale di Conservazione e Zona di Protezione Speciale Inghiaie,30,null,Levico Terme,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
395,Biotopo Ontaneto di Cengles (IT3110004),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Ontaneto di Cengles,41,null,Lasa / Laas,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
396,Runermoos,VR - Biotopo Runermoos,"0.49",DPGP 311 3/03/1994,San Genesio Atesino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
397,Saone-Pez,Riserva Locale Saone-Pez,"21.97",null,"Tione di Trento, Tre Ville",null,www.parks.it/riserva.saone.pez,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
398,Biotopo Torbiera Woelfl - Woelflmoor,Biotopo Torbiera Woelfl - Woelflmoor,10,DPGP 299 17/08/1993,Nova Ponente,EUAP0515,www.parks.it/riserva.torbiera.wolfl,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
